resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
8012422,Fribourg (FR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.71244062775464,4.161902392602844,4.155786326678088,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,Internship,3-4 years VET,3-4 years VET
8012424,Appenzell Ausserrhoden (AR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,.7851171170056823,.973003452991363,.6295146360026581,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,NET
8012428,Thurgau (TG),German,Female,Tertiary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,3.811248681134894,4.299344312039464,4.831951713340887,High,High,Advanced requirements & Alternative/non-assignable study programme,General baccalaureate,General baccalaureate,General baccalaureate
8012431,Vaud (VD),French,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,17.57237771706658,17.71442506875113,16.73633712813148,High,Medium,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012441,Basel-Landschaft (BL),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,4.672876693995724,3.906230935362047,4.61280575192472,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,10th school year,3-4 years VET,3-4 years VET
8012442,Nidwalden (NW),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.852535345507253,1.630851650594248,2.39085599363858,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012443,Ticino (TI),Italian,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.505866827344828,6.911618803812992,7.033253993401585,High,Medium,High requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012446,Fribourg (FR),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,6.114167115189002,5.117494644000689,13.54796907183914,High,Low,Basic/low requirements,Other intermediate solution,2 years VET,2 years VET
8012451,Lucerne (LU),German,Male,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,15.09559036769913,12.65257063662075,8.967692186230547,High,Low,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012454,Aargau (AG),German,Male,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,6.632400698250977,8.810439655755291,7.169197110138833,Medium,High,Advanced requirements & Alternative/non-assignable study programme,NET,Internship,3-4 years VET
