t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;1;1;1;1;1;1;1;3;2;4;5;5;5;3;1;1;1;1;1;1;3;3;44;19.66240256;20.83824468;22.48506425;22.67671099;22.22194443;24.13444164;24.96274479;25.67182176;25.69946581
1;1;1;1;1;1;0;0;0;3;3;5;5;5;1;;;;1;2;2;2;3;3;45;5.038667847;5.922591638;5.439718368;4.519227683;4.699964563;4.110242597;;;
1;1;1;1;1;1;1;1;1;4;4;6;6;8;8;8;8;1;1;2;;3;3;3;46;5.380927722;5.744866443;5.538399867;5.047292255;4.881093709;4.96353517;3.695169975;3.113016926;3.526220439
1;1;1;0;0;0;0;0;0;4;4;6;;;;;;;1;2;1;3;3;3;47;3.806945574;3.643406679;3.589767573;3.324615319;;;;;
1;1;1;1;1;1;1;1;1;4;4;6;6;8;8;8;8;1;2;2;1;3;2;3;48;4.879216902;4.225675844;4.220691358;3.495501234;3.363955192;2.992106018;2.297406002;2.429145181;2.340853074
1;1;1;1;1;1;1;1;0;4;4;3;1;5;5;5;1;;1;1;1;2;2;1;49;10.86448821;10.79406611;11.17927823;11.41845548;11.17431848;11.18179175;10.54341824;11.23701234;10.90803114
1;1;0;1;1;1;1;1;0;4;4;;6;6;8;8;3;;1;2;1;3;2;2;50;13.76747657;12.6094711;12.3383582;13.88521061;13.997217;13.12567013;9.646262146;9.78993812;7.907328333
1;1;1;0;1;0;0;0;1;3;3;5;;5;;;;1;1;2;1;3;1;1;51;12.77915939;15.40419008;14.81088667;14.25084248;19.51853071;28.51704666;61.94021193;279.05916;272.9887507
1;0;0;1;0;1;0;0;0;3;;;2;;2;;;;2;1;2;2;1;1;52;12.90809458;14.48867493;19.82339639;53.47825354;53.34882233;124.4435251;187.6365994;336.4632073;271.7270007
1;1;1;1;0;0;0;0;0;2;2;5;3;;;;;;1;2;;2;1;2;53;3.635963976;3.608948214;3.33218966;3.358165669;4.851695782;6.743889616;18.9749706;131.5089242;258.8420313
